Mean,Top1,Top5,Top10,Pos
1.832,70.6825,96.2079,98.6246,-1.0
4.2398,40.8163,81.6327,88.2653,0.0
1.101,93.4343,100.0,100.0,1.0
2.3792,54.5833,92.5,97.75,2.0
1.7347,41.8367,100.0,100.0,3.0
1.005,99.505,100.0,100.0,4.0
1.5,50.0,100.0,100.0,5.0
2.203,45.5446,92.5743,99.505,6.0
3.0396,52.4752,84.6535,96.5347,7.0
1.1127,91.3399,100.0,100.0,8.0
2.3591,64.0034,93.4708,96.9072,9.0
2.4067,44.5,92.5,97.5,10.0
2.0089,53.8026,97.5728,100.0,11.0
3.0359,50.0817,89.951,92.4837,12.0
2.3396,68.0198,90.396,95.0495,13.0
1.0825,95.712,100.0,100.0,14.0
1.802,76.7327,93.5644,99.0099,15.0
4.1454,29.3301,73.9379,94.8529,16.0
1.4413,60.1587,100.0,100.0,17.0
1.0381,96.1905,100.0,100.0,18.0
1.2382,82.783,99.7642,100.0,19.0
1.4813,51.8692,100.0,100.0,20.0
1.0374,97.1963,100.0,100.0,21.0
1.0514,94.8598,100.0,100.0,22.0
1.6355,60.1558,98.3801,99.5794,23.0
1.9907,35.514,97.1963,100.0,24.0
1.0,100.0,100.0,100.0,25.0
1.0417,95.8333,100.0,100.0,26.0
2.0047,67.4528,96.2264,97.6415,27.0
2.0185,57.4074,96.2963,98.1481,28.0
2.581,39.5833,96.7593,97.3765,29.0
4.2115,42.3077,75.0,90.8654,30.0
1.8133,47.0679,99.3827,100.0,31.0
1.0413,98.6239,99.5413,100.0,32.0
1.05,98.6364,99.5455,100.0,33.0
1.5515,48.1818,99.697,100.0,34.0
1.6211,68.0818,96.6981,100.0,35.0
3.3378,31.0811,89.6396,95.045,36.0
1.3559,74.3243,99.5495,100.0,37.0
3.1371,28.8374,84.2535,99.7372,38.0
1.9137,51.4264,98.048,100.0,39.0
3.8823,31.8043,82.8746,94.4954,40.0
1.8482,78.7946,93.3036,98.8839,41.0
3.2247,44.9405,84.0774,93.6012,42.0
1.1593,88.4956,100.0,100.0,43.0
1.0,100.0,100.0,100.0,44.0
1.4425,57.5221,100.0,100.0,45.0
1.0575,94.2478,100.0,100.0,46.0
1.0,100.0,100.0,100.0,47.0
1.1903,90.708,99.5575,100.0,48.0
1.9246,42.8986,100.0,100.0,49.0
1.069,94.8276,100.0,100.0,50.0
1.9744,35.2564,100.0,100.0,51.0
1.0256,97.4359,100.0,100.0,52.0
1.6893,52.8249,98.7288,99.5763,53.0
5.6353,34.0456,63.9601,89.4587,54.0
1.9801,79.7721,92.0228,98.2906,55.0
1.735,61.5385,97.8632,100.0,56.0
1.1653,86.8644,99.5763,100.0,57.0
1.0,100.0,100.0,100.0,58.0
1.5958,58.5417,100.0,100.0,59.0
1.8926,53.0303,98.0716,100.0,60.0
3.3697,55.042,84.8739,94.1176,61.0
1.3361,75.0,99.1803,100.0,62.0
1.5082,63.5246,100.0,100.0,63.0
1.418,83.6066,96.7213,99.3852,64.0
1.626,50.271,100.0,100.0,65.0
1.2702,74.0591,100.0,100.0,66.0
1.6008,75.0,98.7903,100.0,67.0
2.8233,31.5726,86.4247,99.1935,68.0
2.0255,33.4677,99.7312,100.0,69.0
1.232,83.6,100.0,100.0,70.0
1.1138,97.9675,99.187,99.187,71.0
1.0605,96.5054,100.0,100.0,72.0
1.627,44.4444,100.0,100.0,73.0
2.562,42.0635,96.045,98.6111,74.0
1.7526,45.3704,99.2063,100.0,75.0
1.0079,99.2063,100.0,100.0,76.0
1.0,100.0,100.0,100.0,77.0
9.0642,15.1639,52.5956,68.9891,78.0
1.584,77.4278,98.0315,99.6063,79.0
1.5119,61.9048,99.2063,99.2063,80.0
1.542,52.231,100.0,100.0,81.0
1.0,100.0,100.0,100.0,82.0
1.21,88.6483,99.2126,100.0,83.0
1.6417,58.6614,98.8189,100.0,84.0
4.2581,31.4516,79.0323,89.5161,85.0
1.0,100.0,100.0,100.0,86.0
1.0,100.0,100.0,100.0,87.0
3.7442,34.0052,75.7881,96.3824,88.0
1.0194,98.062,100.0,100.0,89.0
1.6744,56.5891,98.4496,99.2248,90.0
2.752,50.3937,88.5827,96.8504,91.0
3.1836,41.9271,86.1979,95.5729,92.0
1.7,74.6154,98.4615,100.0,93.0
1.0,100.0,100.0,100.0,94.0
4.5,30.2326,75.5814,84.8837,95.0
1.4962,50.3817,100.0,100.0,96.0
1.8473,44.2748,96.9466,100.0,97.0
1.0752,94.3609,100.0,100.0,98.0
1.0226,99.2481,100.0,100.0,99.0
4.8659,18.8596,81.8296,89.5363,100.0
1.5,50.0,100.0,100.0,101.0
1.6061,40.9091,100.0,100.0,102.0
1.8918,74.5025,93.408,98.1343,103.0
1.2815,71.8519,100.0,100.0,104.0
1.0,100.0,100.0,100.0,105.0
1.063,95.9259,100.0,100.0,106.0
2.1753,40.9877,99.3827,100.0,107.0
1.316,71.8519,100.0,100.0,108.0
1.1275,93.8725,99.0196,100.0,109.0
1.5074,54.7794,99.2647,100.0,110.0
1.5637,77.5735,96.9363,99.1422,111.0
1.5972,50.8838,98.9899,100.0,112.0
2.674,76.348,88.7255,92.2794,113.0
1.2129,91.1192,98.7835,100.0,114.0
1.4706,59.9265,100.0,100.0,115.0
1.972,54.5012,97.2019,99.635,116.0
2.9745,27.6156,93.309,97.2019,117.0
1.1739,83.0918,100.0,100.0,118.0
2.6259,46.9136,94.6296,97.5926,119.0
1.2357,93.0952,98.8095,99.0476,120.0
1.731,73.6905,96.1905,99.7619,121.0
1.419,93.8095,97.7381,97.7381,122.0
1.0,100.0,100.0,100.0,123.0
1.5147,86.4415,96.0711,99.0093,124.0
4.3954,24.6959,74.4526,92.3358,125.0
3.683,55.4348,84.4324,88.3816,126.0
6.6962,36.5839,67.8487,81.3239,127.0
1.5423,84.507,96.831,99.2958,128.0
1.0,100.0,100.0,100.0,129.0
1.0,100.0,100.0,100.0,130.0
3.6197,39.6714,77.9343,93.4272,131.0
1.0,100.0,100.0,100.0,132.0
3.139,21.7958,89.061,98.9437,133.0
1.5035,82.7465,97.1831,99.2958,134.0
