Mean,Top1,Top5,Top10,Pos
1.8298,70.7192,96.2196,98.6489,-1.0
5.5725,30.3333,66.75,87.25,0.0
1.515,49.5,100.0,100.0,1.0
1.485,51.5,100.0,100.0,2.0
1.7,48.6667,100.0,100.0,3.0
1.1089,94.0594,100.0,100.0,4.0
1.0,100.0,100.0,100.0,5.0
1.0594,94.5545,100.0,100.0,6.0
1.4314,63.1536,99.0196,100.0,7.0
1.3779,89.1089,98.6799,98.6799,8.0
1.5098,77.451,97.549,100.0,9.0
1.0,100.0,100.0,100.0,10.0
1.7108,63.2353,97.549,99.5098,11.0
1.8529,82.3529,94.1176,95.098,12.0
2.9757,61.6505,93.2039,95.1456,13.0
1.2892,82.3529,100.0,100.0,14.0
2.6719,54.9505,88.5809,96.3036,15.0
1.8432,51.4851,98.6799,99.67,16.0
1.6971,49.5192,99.5192,99.5192,17.0
2.3827,46.3916,93.301,99.8058,18.0
1.0,100.0,100.0,100.0,19.0
1.1442,95.1923,98.5577,100.0,20.0
1.0234,97.6636,100.0,100.0,21.0
3.028,39.2523,88.785,94.3925,22.0
2.257,51.4019,93.4579,94.8598,23.0
1.8972,82.243,92.5234,98.1308,24.0
1.1142,95.9877,100.0,100.0,25.0
1.6296,74.0741,99.0741,100.0,26.0
1.0,100.0,100.0,100.0,27.0
1.0,100.0,100.0,100.0,28.0
1.8403,66.0494,94.3673,100.0,29.0
3.4908,26.6055,84.8624,94.4954,30.0
1.8847,73.676,91.7445,98.5981,31.0
1.5627,82.4159,97.8593,98.6239,32.0
1.3922,75.0,99.0826,100.0,33.0
1.0093,99.0741,100.0,100.0,34.0
3.4119,40.8805,86.7925,94.9686,35.0
1.1055,94.9541,99.0826,100.0,36.0
1.9682,36.5152,100.0,100.0,37.0
1.5,50.0,100.0,100.0,38.0
1.2342,76.5766,100.0,100.0,39.0
4.4037,29.8165,74.7706,91.7431,40.0
2.1295,51.7857,96.875,99.1071,41.0
1.2143,86.6071,100.0,100.0,42.0
1.5531,49.5575,100.0,100.0,43.0
1.0,100.0,100.0,100.0,44.0
3.0246,42.3363,84.8214,94.3452,45.0
3.0487,54.8673,87.1681,93.8053,46.0
1.5702,47.9532,99.4152,100.0,47.0
2.6081,84.2342,90.5405,94.1441,48.0
1.0087,99.1304,100.0,100.0,49.0
1.0474,96.2644,100.0,100.0,50.0
1.7213,57.9023,98.2759,99.569,51.0
3.1782,45.1149,80.7471,96.5517,52.0
1.4009,69.8276,99.569,100.0,53.0
1.4074,62.2507,100.0,100.0,54.0
1.0342,96.5812,100.0,100.0,55.0
1.453,58.1197,100.0,100.0,56.0
1.0085,99.1453,100.0,100.0,57.0
1.37,85.8477,97.4138,100.0,58.0
3.551,31.5374,80.819,94.6121,59.0
1.0,100.0,100.0,100.0,60.0
1.5042,60.1695,100.0,100.0,61.0
1.2689,77.3109,100.0,100.0,62.0
1.7647,76.0504,93.6975,98.3193,63.0
2.0252,33.4734,100.0,100.0,64.0
1.3908,63.0252,100.0,100.0,65.0
3.0847,44.3503,92.2316,95.0565,66.0
1.175,87.5,99.5833,100.0,67.0
2.4365,46.3155,91.9107,100.0,68.0
1.2107,96.6942,98.3471,99.1736,69.0
1.0,100.0,100.0,100.0,70.0
8.4009,15.0862,55.8908,72.2701,71.0
1.0372,99.1736,99.5868,100.0,72.0
1.2637,81.4208,98.9754,100.0,73.0
4.3648,25.0,75.9563,89.3443,74.0
1.2073,84.1463,100.0,100.0,75.0
2.168,26.6393,100.0,100.0,76.0
1.0,100.0,100.0,100.0,77.0
1.0,100.0,100.0,100.0,78.0
3.8009,32.0968,76.3038,96.6398,79.0
2.2229,50.4743,92.9539,100.0,80.0
1.6774,73.3871,96.371,98.3871,81.0
1.7453,62.4667,95.6667,99.7333,82.0
2.1233,46.8667,98.1333,100.0,83.0
2.5057,42.6667,95.4267,98.8667,84.0
1.032,96.8,100.0,100.0,85.0
5.2987,21.3333,79.7333,88.8,86.0
1.5079,49.6032,100.0,100.0,87.0
1.0118,99.6063,100.0,100.0,88.0
1.7183,63.2275,97.3545,98.4127,89.0
3.6428,32.9918,84.7678,93.7842,90.0
2.5013,65.2231,92.9134,95.6693,91.0
3.1016,55.6911,85.7724,93.9024,92.0
1.5984,48.0315,99.2126,100.0,93.0
1.1081,94.0104,99.6094,100.0,94.0
1.2171,82.9457,100.0,100.0,95.0
1.4885,51.1538,100.0,100.0,96.0
3.0659,34.2695,84.16,99.5604,97.0
2.8089,49.187,86.9919,97.6965,98.0
2.1819,42.6845,96.374,99.6183,99.0
2.9121,50.3876,82.4289,97.416,100.0
1.6288,49.3687,99.2424,100.0,101.0
2.376,60.369,91.0305,95.9288,102.0
3.937,43.1759,81.7585,89.895,103.0
1.6061,58.649,100.0,100.0,104.0
1.5877,72.0551,100.0,100.0,105.0
3.8258,52.8822,86.2155,89.599,106.0
1.4887,54.1353,99.2481,100.0,107.0
4.3466,27.4621,74.4318,93.9394,108.0
1.6425,59.7964,98.2188,98.4733,109.0
1.0,100.0,100.0,100.0,110.0
1.7336,44.9012,99.7037,100.0,111.0
1.8963,40.9877,95.5556,99.2593,112.0
1.0809,95.2206,99.6324,100.0,113.0
3.1318,35.3234,83.3333,97.8856,114.0
2.6463,47.037,92.3457,97.5309,115.0
1.511,70.098,99.2647,100.0,116.0
2.3051,39.2157,99.2647,100.0,117.0
3.2458,23.3088,86.4706,98.3824,118.0
1.0,100.0,100.0,100.0,119.0
1.4562,54.3796,100.0,100.0,120.0
2.763,58.8889,87.7778,93.7037,121.0
2.5444,76.4388,87.6499,94.3645,122.0
1.2506,93.4307,98.0535,99.2701,123.0
1.036,96.4029,100.0,100.0,124.0
1.518,48.9209,100.0,100.0,125.0
1.0286,98.5714,100.0,100.0,126.0
1.0,100.0,100.0,100.0,127.0
1.2714,73.5714,100.0,100.0,128.0
1.0274,98.9881,100.0,100.0,129.0
1.5,50.0,100.0,100.0,130.0
1.3623,90.6451,96.5341,99.81,131.0
1.0177,98.227,100.0,100.0,132.0
1.0,100.0,100.0,100.0,133.0
1.0,100.0,100.0,100.0,134.0
1.5575,79.8122,95.892,99.7653,135.0
1.3566,67.1329,100.0,100.0,136.0
1.6294,59.4406,100.0,100.0,137.0
1.4078,93.9716,96.8085,97.5177,138.0
1.0141,98.5915,100.0,100.0,139.0
1.1937,81.4554,100.0,100.0,140.0
1.5804,51.6317,100.0,100.0,141.0
7.2272,30.1559,67.6259,79.1367,142.0
4.1528,25.9673,73.8343,92.4934,143.0
1.1007,94.4444,100.0,100.0,144.0
1.0,100.0,100.0,100.0,145.0
1.5103,77.5862,97.0115,99.4253,146.0
1.5552,52.2989,100.0,100.0,147.0
1.0,100.0,100.0,100.0,148.0
3.7034,30.6897,88.1609,95.1724,149.0
2.4337,75.3968,88.3787,94.5578,150.0
1.9093,54.8753,97.5057,99.5465,151.0
2.2868,60.2041,92.0635,97.7324,152.0
1.3946,62.2449,100.0,100.0,153.0
1.2268,89.9093,98.9796,99.6599,154.0
1.6678,84.2282,96.9799,98.6577,155.0
1.06,94.0,100.0,100.0,156.0
1.798,43.3775,98.6755,100.0,157.0
1.5265,47.351,100.0,100.0,158.0
1.9437,46.0265,96.1369,98.3444,159.0
1.1176,88.8889,100.0,100.0,160.0
2.8235,24.5643,95.4793,98.5839,161.0
1.2993,91.886,98.6842,98.6842,162.0
1.7712,51.634,100.0,100.0,163.0
1.8129,51.2903,97.7419,100.0,164.0
1.0,100.0,100.0,100.0,165.0
1.4744,59.6154,99.6795,99.6795,166.0
1.4581,56.8817,100.0,100.0,167.0
1.1783,89.4904,99.0446,100.0,168.0
1.0,100.0,100.0,100.0,169.0
1.1792,90.9329,99.0042,99.6331,170.0
1.6521,45.8333,100.0,100.0,171.0
1.0186,98.1366,100.0,100.0,172.0
1.0,100.0,100.0,100.0,173.0
2.1211,44.4099,97.619,99.4306,174.0
1.1118,93.1677,100.0,100.0,175.0
1.6398,75.0518,96.8944,98.7578,176.0
1.5401,52.0576,99.0741,100.0,177.0
1.5401,60.3807,99.2284,99.3827,178.0
3.3066,25.0,85.0823,98.1481,179.0
2.8642,50.2058,86.1111,98.1481,180.0
1.0122,99.0854,100.0,100.0,181.0
1.3414,73.4343,100.0,100.0,182.0
1.3494,65.3614,100.0,100.0,183.0
1.7068,78.012,94.9799,98.2932,184.0
1.4699,57.5803,99.8494,100.0,185.0
1.1198,94.012,98.8024,100.0,186.0
1.1012,92.8571,100.0,100.0,187.0
2.8402,23.57,100.0,100.0,188.0
1.0058,99.4152,100.0,100.0,189.0
1.0,100.0,100.0,100.0,190.0
1.4532,57.8947,100.0,100.0,191.0
1.5664,75.616,99.474,100.0,192.0
1.3574,89.8362,97.3025,99.5183,193.0
1.9942,41.3295,99.711,100.0,194.0
1.1163,95.6395,100.0,100.0,195.0
1.737,48.2659,98.8439,100.0,196.0
1.4046,67.052,100.0,100.0,197.0
2.0861,34.7688,99.4027,100.0,198.0
1.7572,50.7707,97.3988,99.1329,199.0
1.5364,54.4061,100.0,100.0,200.0
1.0632,95.7854,100.0,100.0,201.0
1.1523,93.1034,99.4253,100.0,202.0
1.3977,83.5227,97.7273,100.0,203.0
1.354,79.096,98.4934,100.0,204.0
1.823,59.4569,95.7865,98.0337,205.0
1.5028,49.7191,100.0,100.0,206.0
2.9058,29.6139,93.7853,98.0226,207.0
3.8741,43.0556,80.5556,90.9259,208.0
1.0,100.0,100.0,100.0,209.0
1.5177,82.7446,96.7391,98.913,210.0
1.5462,84.7826,95.1087,98.3696,211.0
1.106,96.1957,99.1848,100.0,212.0
1.0297,97.027,100.0,100.0,213.0
1.3595,67.8378,100.0,100.0,214.0
1.0081,99.1935,100.0,100.0,215.0
1.8321,66.4349,94.1711,98.3957,216.0
3.6782,44.6809,76.5957,94.9468,217.0
1.0293,98.1383,100.0,100.0,218.0
1.537,55.5556,100.0,100.0,219.0
1.0079,99.2105,100.0,100.0,220.0
1.0286,97.1354,100.0,100.0,221.0
1.4456,60.6218,99.4819,100.0,222.0
2.0567,33.1615,100.0,100.0,223.0
1.5077,49.7449,100.0,100.0,224.0
3.3718,27.3504,91.6239,94.9573,225.0
3.3427,25.8503,85.4592,96.6837,226.0
1.5223,58.9425,98.7986,100.0,227.0
1.3022,71.5488,100.0,100.0,228.0
2.2369,75.5499,92.8088,95.6007,229.0
3.8917,21.7428,77.242,96.2775,230.0
2.2248,65.8547,91.5812,98.3333,231.0
1.0352,98.2412,100.0,100.0,232.0
3.8928,64.9079,80.4858,89.866,233.0
1.4598,56.7839,99.7487,100.0,234.0
1.5622,56.7164,99.005,100.0,235.0
1.0398,99.005,100.0,100.0,236.0
1.0223,98.0198,100.0,100.0,237.0
1.0,100.0,100.0,100.0,238.0
1.578,48.7685,100.0,100.0,239.0
1.0,100.0,100.0,100.0,240.0
1.3135,76.2376,100.0,100.0,241.0
2.4877,45.2206,91.299,96.4869,242.0
1.5646,47.7642,99.6341,100.0,243.0
1.1859,96.3141,97.9167,99.5192,244.0
1.6739,85.2657,96.2158,98.1481,245.0
1.0,100.0,100.0,100.0,246.0
4.8309,17.6683,73.8381,91.1458,247.0
1.7057,72.7273,96.6507,98.8038,248.0
2.7891,36.2839,90.5502,96.1722,249.0
1.0817,96.1111,99.5238,100.0,250.0
1.0333,99.0476,100.0,100.0,251.0
8.1667,24.0829,65.1515,77.5917,252.0
1.7618,53.7915,97.7093,99.1311,253.0
3.6927,27.4882,83.3333,94.9447,254.0
2.0059,67.6651,93.522,97.8774,255.0
2.7025,72.0,89.25,92.75,256.0
2.4968,48.7872,94.8122,98.5133,257.0
7.1782,39.3254,64.6825,79.8413,258.0
1.4047,60.2326,100.0,100.0,259.0
1.6758,74.6575,95.8904,98.8584,260.0
5.8719,31.0957,65.0463,80.787,261.0
1.5792,51.9608,99.1704,99.9246,262.0
4.5975,69.8541,84.7926,89.7465,263.0
2.5765,38.7879,92.3485,98.6364,264.0
1.1284,89.4144,100.0,100.0,265.0
1.1659,88.8636,99.0909,100.0,266.0
1.4608,84.4918,97.9073,98.8789,267.0
3.965,23.7443,82.1918,94.14,268.0
1.5,50.0,100.0,100.0,269.0
1.5022,49.7768,100.0,100.0,270.0
1.4978,83.0357,95.9821,100.0,271.0
1.0833,97.5225,99.3243,99.7748,272.0
1.683,56.9196,99.5536,100.0,273.0
2.7628,38.4384,89.5646,96.2462,274.0
1.0,100.0,100.0,100.0,275.0
4.4494,22.7679,83.0357,88.1696,276.0
3.4309,52.4593,81.5407,95.4815,277.0
1.9949,52.8047,94.2731,100.0,278.0
1.1938,88.1057,99.5595,100.0,279.0
1.5173,50.0,100.0,100.0,280.0
1.4567,64.2857,99.5671,100.0,281.0
1.0304,97.3913,100.0,100.0,282.0
1.0085,99.7863,100.0,100.0,283.0
1.4466,55.3419,100.0,100.0,284.0
1.0043,99.5745,100.0,100.0,285.0
1.2917,91.25,98.3333,99.5833,286.0
1.0021,99.7917,100.0,100.0,287.0
1.4807,85.124,96.7631,99.5868,288.0
1.0,100.0,100.0,100.0,289.0
1.2306,76.9388,100.0,100.0,290.0
2.8216,62.0332,85.2697,95.8506,291.0
1.5184,74.5219,96.5164,99.1803,292.0
1.7785,80.8943,92.6829,98.1707,293.0
1.0,100.0,100.0,100.0,294.0
1.1093,93.9333,99.3,99.9,295.0
3.2302,62.2984,81.3508,93.6492,296.0
2.9355,34.6774,93.3468,96.7742,297.0
1.0757,92.4303,100.0,100.0,298.0
4.6908,25.9036,75.5355,91.6667,299.0
