NumSubjTypes,Count,Mean,Top1,Top5,Top10
-1,56247608,1.6022,75.34,97.6918,99.1947
0,65319,5.0351,50.8612,79.4652,87.3524
1,46322326,1.5708,75.5109,97.8306,99.2862
2,9248154,1.7155,74.7929,97.219,98.8871
3,432382,1.8448,73.7868,96.5439,98.2191
4,107261,1.9597,72.139,96.0365,98.3953
5,43205,2.1025,72.0317,95.087,97.7587
6,14616,2.0054,70.5437,94.773,97.8176
7,7232,2.0471,74.3609,94.8458,97.1538
8,3501,2.6279,71.6612,95.5108,97.4945
9,1648,2.0862,70.8719,95.5266,97.6119
10,920,1.9945,73.5217,95.6094,97.3316
11,303,4.19,63.8346,87.3626,91.9118
12,272,1.483,78.3315,98.2165,99.3172
13,112,4.0726,68.2804,86.539,92.3949
14,93,2.4029,73.0482,89.2834,94.6088
15,84,1.6224,75.9498,97.3077,98.0769
16,14,1.0,100.0,100.0,100.0
18,15,1.4833,66.1111,100.0,100.0
19,6,1.0,100.0,100.0,100.0
20,14,1.5,61.1111,100.0,100.0
22,3,1.0,100.0,100.0,100.0
24,30,1.3056,78.7037,100.0,100.0
25,11,1.0,100.0,100.0,100.0
27,5,1.2,86.6667,100.0,100.0
40,13,1.0,100.0,100.0,100.0
51,13,1.0,100.0,100.0,100.0
55,17,1.0,100.0,100.0,100.0
58,18,1.2944,80.5556,100.0,100.0
92,21,1.0,100.0,100.0,100.0
