Mean,Top1,Top5,Top10,Pos
1.5738,75.869,97.8243,99.2349,-1.0
1.2367,91.3333,97.8333,100.0,0.0
2.3485,80.8081,89.899,94.9495,1.0
1.399,79.2929,97.6431,98.9899,2.0
1.5152,59.4276,99.4949,100.0,3.0
1.72,43.0,100.0,100.0,4.0
2.0792,62.7888,90.9241,99.505,5.0
1.3267,83.6634,100.0,100.0,6.0
1.5,50.0,100.0,100.0,7.0
1.1095,95.7516,100.0,100.0,8.0
1.9796,77.0408,94.3878,97.9592,9.0
1.1716,89.8693,100.0,100.0,10.0
1.0784,93.1373,100.0,100.0,11.0
1.7136,57.2816,98.5437,100.0,12.0
1.2557,83.0097,100.0,100.0,13.0
2.3878,52.4752,90.099,99.1749,14.0
1.0,100.0,100.0,100.0,15.0
1.0,100.0,100.0,100.0,16.0
1.7353,66.6667,99.0196,100.0,17.0
1.4612,69.9029,99.0291,100.0,18.0
1.3137,79.4118,99.0196,100.0,19.0
1.2016,87.7778,99.0476,100.0,20.0
1.5189,48.1132,100.0,100.0,21.0
1.5991,60.8491,99.0566,100.0,22.0
1.5654,53.271,100.0,100.0,23.0
1.4907,56.8536,100.0,100.0,24.0
1.2617,82.243,100.0,100.0,25.0
1.6157,42.5926,100.0,100.0,26.0
1.5926,67.1296,99.537,100.0,27.0
1.5639,62.9283,98.2866,100.0,28.0
1.4037,89.9083,96.3303,99.0826,29.0
1.0367,96.3303,100.0,100.0,30.0
1.2018,88.0734,100.0,100.0,31.0
2.4885,66.6667,89.9083,95.4128,32.0
1.0,100.0,100.0,100.0,33.0
1.1909,83.6364,100.0,100.0,34.0
2.3395,76.2273,93.4848,93.6364,35.0
1.8142,63.6086,97.7064,98.7003,36.0
3.2087,50.6881,85.474,93.0428,37.0
1.4835,81.8318,97.2973,99.0991,38.0
1.3423,81.982,99.0991,100.0,39.0
1.1636,87.2727,100.0,100.0,40.0
1.0,100.0,100.0,100.0,41.0
1.2054,91.5179,99.1071,100.0,42.0
1.7327,80.8176,93.3176,98.0346,43.0
2.5312,44.6429,92.4107,94.1964,44.0
1.3348,92.4107,97.7679,99.1071,45.0
1.4912,50.8772,100.0,100.0,46.0
1.0,100.0,100.0,100.0,47.0
1.969,66.6667,95.7227,98.3776,48.0
1.7333,49.4203,98.2609,100.0,49.0
1.0,100.0,100.0,100.0,50.0
1.0087,99.1304,100.0,100.0,51.0
1.8606,60.7759,95.546,99.4253,52.0
1.9914,33.3333,100.0,100.0,53.0
3.2112,63.3621,88.3621,91.8103,54.0
1.9131,38.6752,100.0,100.0,55.0
1.3534,82.3276,100.0,100.0,56.0
3.2521,58.8319,84.6154,90.5983,57.0
2.5684,57.6923,91.453,96.5812,58.0
1.0,100.0,100.0,100.0,59.0
1.5127,65.2542,100.0,100.0,60.0
1.3277,68.6275,100.0,100.0,61.0
2.976,42.5141,85.0989,95.1977,62.0
1.7017,48.0392,100.0,100.0,63.0
1.0,100.0,100.0,100.0,64.0
1.0,100.0,100.0,100.0,65.0
2.8094,45.9804,83.0252,99.1597,66.0
4.3065,44.6328,77.6836,92.2316,67.0
3.1751,34.0336,82.493,97.479,68.0
1.5167,50.0,100.0,100.0,69.0
1.5109,76.5027,99.1803,100.0,70.0
2.1919,49.2623,95.765,99.4262,71.0
1.2653,76.8056,99.4444,100.0,72.0
1.4422,87.0015,96.7915,99.8984,73.0
1.0,100.0,100.0,100.0,74.0
2.9921,27.5137,89.5219,97.377,75.0
1.4431,55.6911,100.0,100.0,76.0
1.3629,66.9355,100.0,100.0,77.0
1.5269,85.4839,97.4462,98.5215,78.0
1.121,98.2527,99.328,99.328,79.0
3.3022,24.7076,84.1619,99.6381,80.0
3.7151,60.2151,86.2903,90.3226,81.0
1.032,96.8,100.0,100.0,82.0
1.4802,65.873,100.0,100.0,83.0
1.4683,57.1429,100.0,100.0,84.0
1.6896,51.4436,98.7533,100.0,85.0
2.3058,38.9764,99.0814,100.0,86.0
1.0391,96.0938,100.0,100.0,87.0
1.0698,93.0233,100.0,100.0,88.0
1.0078,99.2248,100.0,100.0,89.0
2.5648,64.5503,91.7989,95.7672,90.0
1.6602,48.062,100.0,100.0,91.0
2.364,72.8,90.8,97.2,92.0
1.4385,58.8462,100.0,100.0,93.0
1.6436,61.0256,98.4615,100.0,94.0
2.2815,47.5066,96.7848,98.8189,95.0
1.1069,93.8931,100.0,100.0,96.0
1.0611,96.5649,100.0,100.0,97.0
1.9402,64.2494,96.5649,98.4733,98.0
1.8075,62.7907,98.062,98.8372,99.0
1.0462,96.4103,100.0,100.0,100.0
1.5139,54.798,100.0,100.0,101.0
1.0,100.0,100.0,100.0,102.0
1.4508,69.697,98.1061,100.0,103.0
1.015,98.4962,100.0,100.0,104.0
1.015,98.4962,100.0,100.0,105.0
1.0,100.0,100.0,100.0,106.0
1.1917,81.0777,100.0,100.0,107.0
1.0075,99.2537,100.0,100.0,108.0
1.9523,75.0,90.6489,98.4733,109.0
1.0,100.0,100.0,100.0,110.0
1.6889,54.8148,97.037,100.0,111.0
3.1564,53.0769,87.1795,92.8205,112.0
1.6247,56.4198,100.0,100.0,113.0
1.0147,99.2647,100.0,100.0,114.0
1.1434,93.0147,98.5294,100.0,115.0
2.2537,68.9055,93.0348,96.7662,116.0
1.0657,94.5255,100.0,100.0,117.0
1.9455,62.5304,95.8637,97.5669,118.0
1.4489,60.219,100.0,100.0,119.0
3.6078,45.4044,89.5833,93.8725,120.0
1.4565,54.3478,100.0,100.0,121.0
1.018,98.9209,100.0,100.0,122.0
1.1975,95.1087,98.913,99.0942,123.0
1.729,48.801,98.3213,98.5612,124.0
1.0145,98.5507,100.0,100.0,125.0
1.0288,97.482,100.0,100.0,126.0
1.0286,98.5714,100.0,100.0,127.0
1.156,89.7163,99.2908,100.0,128.0
3.9832,31.8945,75.6595,94.6043,129.0
1.7566,76.1391,95.3237,99.6403,130.0
1.656,51.773,98.227,98.5816,131.0
1.0282,97.1831,100.0,100.0,132.0
1.0035,99.6479,100.0,100.0,133.0
2.4209,71.8225,90.6475,94.2446,134.0
1.5599,79.8122,96.1268,99.1784,135.0
1.1364,86.3636,100.0,100.0,136.0
1.635,48.0047,99.061,99.7653,137.0
2.4253,72.6437,87.3563,95.8621,138.0
2.7345,28.3908,95.6897,98.908,139.0
2.1045,66.1385,95.5986,97.1831,140.0
1.0,100.0,100.0,100.0,141.0
1.1952,84.589,100.0,100.0,142.0
1.1039,91.895,100.0,100.0,143.0
1.4954,63.3562,98.9726,99.3151,144.0
1.0,100.0,100.0,100.0,145.0
