NumObjTypes,Count,Mean,Top1,Top5,Top10
-1,56255219,1.748,72.5039,96.8268,98.8426
1,54638817,1.7319,72.6416,96.8949,98.889
2,1083948,2.1069,68.9844,95.0413,97.7906
3,339757,2.5339,66.1625,94.0809,96.7717
4,89664,2.8469,64.7084,92.5425,95.1087
5,42756,2.9846,66.3228,92.2689,95.1205
6,18254,3.3173,60.877,90.5815,93.908
7,8819,2.1439,64.7312,94.3213,98.2631
8,15477,3.155,65.8898,94.0465,96.3044
9,4435,2.0174,68.3556,94.7949,98.5862
10,6234,2.4119,54.7625,93.2139,95.4717
11,280,6.3233,59.4187,82.6258,83.4943
12,2581,4.8081,54.7739,86.2414,87.8576
13,450,4.3391,52.2733,85.2833,92.4332
14,603,3.467,58.335,87.232,97.2807
15,2582,2.2939,67.8566,93.2052,96.1666
16,1,1.0,100.0,100.0,100.0
18,554,2.3889,72.2222,77.7778,100.0
19,1,1.0,100.0,100.0,100.0
20,1,1.0,100.0,100.0,100.0
24,3,1.5,50.0,100.0,100.0
51,1,1.0,100.0,100.0,100.0
58,1,4.0,0.0,100.0,100.0
