Mean,Top1,Top5,Top10,Pos
1.6807,73.6173,97.1556,98.9881,-1.0
1.7576,51.0101,98.6532,100.0,0.0
1.9617,73.25,93.6667,99.5,1.0
2.2568,52.9762,94.1327,97.449,2.0
1.04,97.0,100.0,100.0,3.0
1.0253,97.4747,100.0,100.0,4.0
1.23,82.5,99.5,100.0,5.0
1.0198,98.0198,100.0,100.0,6.0
1.1089,92.0792,100.0,100.0,7.0
2.6708,55.363,90.5941,96.2871,8.0
1.0,100.0,100.0,100.0,9.0
1.3333,86.2745,98.0392,100.0,10.0
2.3155,55.6634,93.6893,97.0874,11.0
2.1642,47.1683,94.9838,100.0,12.0
2.4446,47.2399,91.9048,100.0,13.0
1.0,100.0,100.0,100.0,14.0
1.0,100.0,100.0,100.0,15.0
1.0333,96.6667,100.0,100.0,16.0
1.8333,81.9048,92.381,99.0476,17.0
3.5561,29.0064,80.9295,96.7949,18.0
1.0,100.0,100.0,100.0,19.0
1.0047,99.5327,100.0,100.0,20.0
1.6822,48.5981,99.5327,100.0,21.0
1.0,100.0,100.0,100.0,22.0
1.7207,48.4568,99.0741,100.0,23.0
4.7596,38.4615,73.0769,90.8654,24.0
1.1713,96.2963,98.6111,99.537,25.0
1.0183,98.1651,100.0,100.0,26.0
2.3846,87.9808,91.8269,94.2308,27.0
1.6485,46.9697,99.0909,100.0,28.0
2.131,76.1468,89.8777,98.0887,29.0
1.3036,83.0357,100.0,100.0,30.0
1.9263,62.5,96.8899,97.9911,31.0
1.0,100.0,100.0,100.0,32.0
2.455,42.1829,92.6254,99.7788,33.0
2.3097,39.528,98.5251,100.0,34.0
1.2545,85.4545,99.0909,100.0,35.0
3.5037,36.1404,76.3596,98.6842,36.0
1.9174,63.1884,93.913,100.0,37.0
1.5435,54.7826,100.0,100.0,38.0
1.6681,60.3448,98.2759,100.0,39.0
2.7222,54.0541,90.5405,96.6967,40.0
2.7396,60.8631,90.3274,94.7917,41.0
1.5,50.0,100.0,100.0,42.0
1.069,93.9655,100.0,100.0,43.0
1.1164,92.6724,99.569,100.0,44.0
2.3218,59.7701,94.5402,97.9885,45.0
1.5171,64.1738,100.0,100.0,46.0
2.7006,55.5085,89.2655,94.774,47.0
1.072,94.9153,100.0,100.0,48.0
2.2076,53.2486,96.3277,98.3051,49.0
2.8198,56.1254,87.4644,94.1595,50.0
1.0,100.0,100.0,100.0,51.0
1.4786,55.8405,100.0,100.0,52.0
1.0294,98.7395,100.0,100.0,53.0
1.5,55.8824,99.1597,100.0,54.0
3.9887,41.9492,83.4746,89.4068,55.0
1.575,46.6667,100.0,100.0,56.0
1.0,100.0,100.0,100.0,57.0
2.1289,56.3025,96.7787,97.7591,58.0
1.7422,52.4217,98.2906,99.5726,59.0
3.2328,28.0172,87.5,96.9828,60.0
1.0,100.0,100.0,100.0,61.0
1.0861,93.8525,100.0,100.0,62.0
1.668,82.6446,95.1791,98.3471,63.0
1.4431,62.6016,100.0,100.0,64.0
1.9336,41.7344,99.458,100.0,65.0
3.2334,26.5673,83.5634,99.6322,66.0
1.1148,91.1202,100.0,100.0,67.0
1.4526,59.0786,100.0,100.0,68.0
3.8115,26.6393,82.7869,93.0328,69.0
1.6911,79.6748,93.9024,99.187,70.0
3.0783,51.6667,89.3333,92.3333,71.0
2.8482,33.7263,89.6477,98.916,72.0
1.5376,53.8978,100.0,100.0,73.0
1.0244,97.561,100.0,100.0,74.0
1.2661,73.3871,100.0,100.0,75.0
1.0,100.0,100.0,100.0,76.0
1.28,73.6,100.0,100.0,77.0
1.0,100.0,100.0,100.0,78.0
2.5054,75.8065,91.5323,94.3548,79.0
1.2823,85.4839,99.1935,100.0,80.0
1.0,100.0,100.0,100.0,81.0
1.0,100.0,100.0,100.0,82.0
1.0675,98.4127,99.6032,100.0,83.0
2.3831,72.3118,91.8011,96.5054,84.0
1.4664,86.5591,96.9086,98.7903,85.0
3.7049,38.9344,76.2295,92.623,86.0
2.1786,43.3862,95.5026,99.6032,87.0
2.2188,28.3854,98.9583,100.0,88.0
1.0,100.0,100.0,100.0,89.0
2.3268,62.2047,88.9764,96.4567,90.0
1.418,79.8177,98.0469,99.2188,91.0
3.243,27.4806,86.6537,97.2093,92.0
1.5853,73.6434,98.062,100.0,93.0
1.9419,37.2739,100.0,100.0,94.0
1.093,93.0233,100.0,100.0,95.0
1.5078,52.7132,100.0,100.0,96.0
1.0885,91.1538,100.0,100.0,97.0
1.0,100.0,100.0,100.0,98.0
1.6923,58.8462,98.0769,100.0,99.0
4.4606,29.9618,75.6997,93.5115,100.0
1.7061,57.888,98.2188,99.2366,101.0
1.2538,78.4615,100.0,100.0,102.0
1.0,100.0,100.0,100.0,103.0
1.2837,84.2239,99.2366,100.0,104.0
2.0101,34.8485,100.0,100.0,105.0
1.0301,96.9925,100.0,100.0,106.0
1.5303,47.7273,100.0,100.0,107.0
1.0252,98.8346,100.0,100.0,108.0
1.0149,98.5075,100.0,100.0,109.0
1.0037,99.6269,100.0,100.0,110.0
1.416,77.005,98.4962,100.0,111.0
1.643,77.1144,97.0149,98.5075,112.0
1.0147,98.5294,100.0,100.0,113.0
6.1869,26.7662,69.4154,78.5199,114.0
1.1448,97.4453,98.7835,99.3917,115.0
1.0438,96.7153,100.0,100.0,116.0
1.2222,78.3951,100.0,100.0,117.0
1.0942,90.5797,100.0,100.0,118.0
1.7482,44.4853,99.6324,100.0,119.0
1.1007,97.3881,99.2537,99.2537,120.0
1.0511,94.8905,100.0,100.0,121.0
1.1522,96.0145,98.5507,99.2754,122.0
1.8659,39.372,99.2754,99.2754,123.0
1.692,50.6039,97.8261,100.0,124.0
1.2476,90.0966,98.1884,100.0,125.0
1.6475,64.3885,99.2806,99.2806,126.0
1.0,100.0,100.0,100.0,127.0
1.539,46.8085,100.0,100.0,128.0
3.4078,32.2695,88.1797,94.5626,129.0
1.8144,59.5745,95.6265,99.7636,130.0
1.0709,95.7447,100.0,100.0,131.0
1.5688,51.6317,99.0676,100.0,132.0
1.535,46.5035,100.0,100.0,133.0
1.5625,64.9306,98.6111,98.6111,134.0
2.461,59.8109,94.6809,97.1631,135.0
1.6528,49.3056,98.6111,100.0,136.0
1.021,98.6014,100.0,100.0,137.0
1.4966,50.3448,100.0,100.0,138.0
1.4841,88.3878,95.9332,99.3966,139.0
2.8036,53.7296,87.5874,96.6783,140.0
2.4712,62.4413,92.6056,96.831,141.0
2.5804,48.7179,91.7832,97.9021,142.0
1.9007,39.9543,96.5753,99.3151,143.0
1.8134,55.3082,99.8288,100.0,144.0
2.1874,39.5414,96.4206,98.8814,145.0
1.0772,95.8613,99.4407,100.0,146.0
2.6849,64.3836,88.6986,95.8904,147.0
5.1935,41.1633,78.0761,86.1298,148.0
1.74,48.3333,96.6667,100.0,149.0
1.5,50.0,100.0,100.0,150.0
1.0,100.0,100.0,100.0,151.0
1.0,100.0,100.0,100.0,152.0
1.0,100.0,100.0,100.0,153.0
2.7226,63.9269,92.1233,95.2055,154.0
3.393,20.2759,84.117,97.5497,155.0
1.4338,58.3885,100.0,100.0,156.0
1.4118,59.8039,100.0,100.0,157.0
1.0,100.0,100.0,100.0,158.0
1.0065,99.3548,100.0,100.0,159.0
1.3088,87.0192,98.0769,99.359,160.0
1.3217,81.2102,98.4076,100.0,161.0
1.793,80.8917,94.9045,98.4076,162.0
1.0316,97.1519,100.0,100.0,163.0
1.019,98.1013,100.0,100.0,164.0
1.5316,53.7975,100.0,100.0,165.0
1.5538,59.8945,99.3671,99.3671,166.0
1.4748,57.914,99.8428,100.0,167.0
1.0688,95.0,100.0,100.0,168.0
1.0031,99.6875,100.0,100.0,169.0
1.3802,63.4375,99.7917,100.0,170.0
1.425,59.5833,100.0,100.0,171.0
1.392,90.1235,97.8395,98.7654,172.0
2.8858,22.7366,99.3827,100.0,173.0
1.0726,94.9898,99.591,100.0,174.0
