NumObjTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.5847,76.2913,97.7425,99.1077
1,54639156,1.569,76.503,97.8165,99.1505
2,1084353,1.8931,69.8986,95.9858,98.3762
3,339944,2.2532,69.099,94.7936,96.9495
4,89298,2.6615,66.5502,93.2189,95.4707
5,43015,3.2637,67.3058,92.6183,95.8915
6,18393,3.3629,61.3055,90.5968,93.8223
7,9010,3.1134,60.6934,89.6041,94.5037
8,15641,4.9734,60.813,88.3045,91.2067
9,4393,2.795,66.3188,91.1762,95.4353
10,6133,2.4454,61.736,93.1551,95.6748
11,302,4.9608,55.8366,84.0133,90.2617
12,2593,5.4804,46.2653,78.8667,89.3269
13,454,2.704,61.1571,89.7465,92.3133
14,657,4.3037,49.809,79.5938,91.2261
15,2669,2.4567,64.2925,87.2079,94.8435
18,527,2.2381,71.4286,90.4762,95.2381
19,1,1.0,100.0,100.0,100.0
24,4,1.75,25.0,100.0,100.0
51,1,1.0,100.0,100.0,100.0
55,1,1.0,100.0,100.0,100.0
58,3,8.875,0.0,87.5,87.5
