NumSubjTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.5789,76.3084,97.8214,99.1338
0,65709,3.9973,56.4719,85.7883,91.9961
1,46331976,1.5375,76.5782,98.0502,99.2766
2,9247335,1.7423,75.3447,96.9069,98.5474
3,431243,1.9194,72.9808,95.9381,98.0637
4,107883,2.0703,72.3571,95.1731,97.7476
5,43467,2.162,70.5428,94.2867,97.5816
6,14762,2.2532,71.4098,94.3287,97.71
7,7136,2.3737,70.6015,94.5167,97.4852
8,3462,2.614,66.1663,95.5102,98.398
9,1633,2.4358,69.6467,93.4384,95.9207
10,897,2.9136,67.6217,90.2616,93.8142
11,302,3.2777,61.7212,88.4568,93.4568
12,277,4.8162,72.1025,92.4042,93.4042
13,109,1.5106,73.5418,99.2925,99.2925
14,97,2.1111,64.2565,89.0778,98.9737
15,94,1.5085,80.5449,95.9103,99.9615
16,17,1.1154,98.0769,98.0769,100.0
18,10,1.2667,76.6667,100.0,100.0
19,5,1.4444,66.6667,100.0,100.0
20,17,1.6666,66.6666,100.0,100.0
22,4,1.0,100.0,100.0,100.0
24,32,1.3667,70.0,100.0,100.0
25,10,1.0,100.0,100.0,100.0
27,3,1.0,100.0,100.0,100.0
40,8,1.0,100.0,100.0,100.0
51,17,1.0,100.0,100.0,100.0
55,6,1.0,100.0,100.0,100.0
58,18,1.1567,87.6667,100.0,100.0
92,19,1.5,66.6666,100.0,100.0
