NumTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.5923,75.8613,97.6952,99.132
1,60159,3.9266,56.6167,86.0502,92.129
2,44870511,1.5691,76.0919,97.8299,99.2071
3,10128237,1.6435,75.3646,97.3619,98.9386
4,791709,1.8073,72.8763,96.4514,98.5777
5,211581,1.9449,72.6816,95.9815,98.1781
6,89855,2.1601,71.4344,94.9582,97.6376
7,39852,2.2897,70.6317,94.8794,97.4772
8,19815,2.1927,69.3737,94.7213,97.7553
9,20146,2.4181,67.2055,94.6334,97.1296
10,7334,2.6695,68.9753,93.9233,96.3083
11,7474,2.7458,66.5357,92.8262,95.4817
12,1449,3.7583,62.2778,89.1092,92.0862
13,3029,3.0434,64.7579,88.9204,94.9546
14,822,2.6522,58.788,89.4666,96.8896
15,826,2.4173,64.2166,89.1683,96.9979
16,960,3.1987,66.0095,87.9928,96.3616
17,1497,1.4661,79.7856,95.2042,99.9957
18,294,4.379,56.3353,73.8746,85.3434
19,224,1.7568,67.1635,92.508,100.0
20,51,3.1818,65.6818,81.8182,81.8182
21,364,2.2083,51.0417,87.5,100.0
22,153,1.25,75.0,100.0,100.0
23,35,1.1,90.0,100.0,100.0
24,11,1.0,100.0,100.0,100.0
25,41,1.2143,78.5714,100.0,100.0
26,19,1.3333,75.0,100.0,100.0
27,10,1.0,100.0,100.0,100.0
28,9,1.0,100.0,100.0,100.0
29,3,1.0,100.0,100.0,100.0
30,3,1.0,100.0,100.0,100.0
31,2,1.25,75.0,100.0,100.0
41,8,1.0,100.0,100.0,100.0
52,17,1.0,100.0,100.0,100.0
53,1,1.0,100.0,100.0,100.0
56,6,1.0,100.0,100.0,100.0
57,1,1.0,100.0,100.0,100.0
58,2,13.75,0.0,75.0,75.0
59,15,1.7571,67.1429,100.0,100.0
60,4,1.3889,72.2222,100.0,100.0
93,18,1.0,100.0,100.0,100.0
94,1,2.0,33.3333,100.0,100.0
