Mean,Top1,Top5,Top10,Pos
1.5293,77.086,98.1101,99.2896,-1.0
3.2398,71.9388,88.2653,92.3469,0.0
1.0253,97.4747,100.0,100.0,1.0
1.9542,61.9167,95.0,98.0,2.0
1.3878,71.4286,100.0,100.0,3.0
1.005,99.505,100.0,100.0,4.0
1.5099,49.0099,100.0,100.0,5.0
1.2871,87.1287,98.5149,100.0,6.0
1.8218,74.2574,95.0495,98.0198,7.0
1.1127,91.3399,100.0,100.0,8.0
1.8411,75.8591,95.0172,98.9691,9.0
1.6783,85.0,95.3333,97.3333,10.0
1.7443,53.3172,99.3528,100.0,11.0
2.3897,46.1601,94.3627,96.4052,12.0
2.3208,72.9703,89.802,92.8713,13.0
1.1893,91.8285,100.0,100.0,14.0
1.7079,80.198,94.5545,95.0495,15.0
3.3881,35.2124,81.781,95.8333,16.0
1.4794,57.3016,100.0,100.0,17.0
1.0381,96.1905,100.0,100.0,18.0
1.2382,82.783,99.7642,100.0,19.0
1.4813,51.8692,100.0,100.0,20.0
1.0234,98.1308,100.0,100.0,21.0
1.0514,94.8598,100.0,100.0,22.0
1.6221,60.0779,99.5794,99.5794,23.0
1.6262,53.271,100.0,100.0,24.0
1.0,100.0,100.0,100.0,25.0
1.0556,94.9074,100.0,100.0,26.0
1.8255,67.4528,96.2264,97.6415,27.0
1.5324,71.7593,99.0741,100.0,28.0
2.1944,59.0278,95.5247,97.3765,29.0
3.4231,59.1346,84.1346,90.8654,30.0
1.6111,53.0864,99.6914,100.0,31.0
1.0321,98.6239,99.5413,100.0,32.0
1.0136,98.6364,100.0,100.0,33.0
1.55,47.1212,100.0,100.0,34.0
1.5723,68.0818,97.4843,100.0,35.0
2.6396,63.0631,91.4414,95.045,36.0
1.0631,95.4955,100.0,100.0,37.0
3.068,29.468,84.9432,100.0,38.0
1.6231,60.8108,99.5495,100.0,39.0
2.344,66.208,94.9541,95.8716,40.0
1.3817,90.8482,96.2054,99.7768,41.0
2.4792,48.8095,93.6012,97.9167,42.0
1.1239,88.4956,100.0,100.0,43.0
1.0,100.0,100.0,100.0,44.0
1.4425,57.5221,100.0,100.0,45.0
1.0664,93.3628,100.0,100.0,46.0
1.0,100.0,100.0,100.0,47.0
1.0575,96.9027,99.5575,100.0,48.0
1.7348,46.3768,100.0,100.0,49.0
1.0086,99.1379,100.0,100.0,50.0
1.8974,40.6695,100.0,100.0,51.0
1.0256,97.4359,100.0,100.0,52.0
1.5763,60.8757,98.7288,100.0,53.0
2.7265,58.547,90.0285,95.4416,54.0
1.7051,87.1795,94.4444,97.8632,55.0
1.6026,64.1026,99.5726,100.0,56.0
1.1695,86.8644,99.5763,100.0,57.0
1.0,100.0,100.0,100.0,58.0
1.6014,58.125,100.0,100.0,59.0
1.876,53.0303,98.0716,99.5868,60.0
2.3866,67.2269,92.0168,95.7983,61.0
1.3033,75.0,99.1803,100.0,62.0
1.5082,63.5246,100.0,100.0,63.0
1.2459,86.8852,98.3607,99.3852,64.0
1.6721,47.832,100.0,100.0,65.0
1.2728,73.7903,100.0,100.0,66.0
1.3911,81.0484,99.1935,100.0,67.0
2.0161,48.3737,97.3118,99.5968,68.0
1.9664,35.0806,100.0,100.0,69.0
1.212,84.4,100.0,100.0,70.0
1.1789,97.9675,98.374,99.187,71.0
1.0524,96.5054,100.0,100.0,72.0
1.5119,55.9524,100.0,100.0,73.0
1.832,53.9683,98.6508,99.8016,74.0
1.746,45.3704,99.2063,100.0,75.0
1.0079,99.2063,100.0,100.0,76.0
1.0,100.0,100.0,100.0,77.0
4.5806,46.0383,83.0601,90.5738,78.0
1.5866,77.4278,98.0315,98.8189,79.0
1.4008,73.0159,99.2063,99.2063,80.0
1.542,52.231,100.0,100.0,81.0
1.0,100.0,100.0,100.0,82.0
1.1791,88.3858,100.0,100.0,83.0
1.7244,48.4252,97.6378,100.0,84.0
3.5645,51.6129,83.0645,90.7258,85.0
1.0,100.0,100.0,100.0,86.0
1.0,100.0,100.0,100.0,87.0
3.2742,33.553,79.0052,98.708,88.0
1.0194,98.062,100.0,100.0,89.0
1.1977,89.1473,99.2248,100.0,90.0
1.4094,83.0709,98.8189,100.0,91.0
2.3385,57.5521,90.7552,97.3958,92.0
1.3269,84.2308,98.4615,100.0,93.0
1.0,100.0,100.0,100.0,94.0
2.8411,61.6279,86.4341,93.0233,95.0
1.5191,48.0916,100.0,100.0,96.0
1.5115,54.1985,99.2366,100.0,97.0
1.0827,92.4812,100.0,100.0,98.0
1.0075,99.2481,100.0,100.0,99.0
1.9223,70.1128,94.9248,98.2456,100.0
1.541,45.8955,100.0,100.0,101.0
1.5985,40.9091,100.0,100.0,102.0
1.755,75.995,95.6468,97.7612,103.0
1.0,100.0,100.0,100.0,104.0
1.0,100.0,100.0,100.0,105.0
1.0741,95.5556,100.0,100.0,106.0
2.1407,41.7284,99.3827,100.0,107.0
1.316,71.8519,100.0,100.0,108.0
1.0833,94.1176,100.0,100.0,109.0
1.4522,54.7794,100.0,100.0,110.0
1.511,79.0441,97.6716,98.7745,111.0
1.529,56.0606,99.2424,100.0,112.0
1.8137,75.6127,96.3235,97.6716,113.0
1.174,91.1192,99.0268,100.0,114.0
1.5294,52.2059,100.0,100.0,115.0
