SetSize,Count,Mean,Top1,Top5,Top10
-1,56248238,6.6764,38.7625,69.7273,83.449
0,49244460,7.3499,32.8618,66.0806,81.3803
1,5634107,1.7895,80.2476,95.953,98.4891
2,775280,2.1448,80.4708,93.7633,96.8137
3,332310,2.4742,81.561,93.2298,95.8651
4,135341,3.8516,76.831,89.7004,93.2384
5,97424,3.6795,78.8108,90.3401,93.7712
6,24516,4.5324,81.8905,93.3826,94.8588
7,3970,6.1097,74.3593,87.4766,90.9133
8,758,12.9021,78.9855,89.4352,89.9948
9,33,16.3854,69.6756,83.7374,86.9192
10,12,3.447,76.1364,88.2576,92.4242
11,19,6.494,91.0714,94.0476,94.0476
12,3,1.7692,73.077,100.0,100.0
13,3,1.0,100.0,100.0,100.0
14,1,168.5,0.0,0.0,0.0
15,1,13.0,68.75,81.25,81.25
