Mean,Top1,Top5,Top10,Pos
5.1816,52.6749,77.4949,87.8853,-1.0
6.53,20.0,54.25,81.25,0.0
1.02,99.0,100.0,100.0,1.0
1.06,97.0,100.0,100.0,2.0
1.4,86.3333,100.0,100.0,3.0
1.1782,87.1287,100.0,100.0,4.0
1.0,100.0,100.0,100.0,5.0
1.3465,80.198,100.0,100.0,6.0
2.902,72.549,72.549,100.0,7.0
1.566,67.3267,98.8449,99.1749,8.0
2.5833,25.0,98.0392,100.0,9.0
1.0,100.0,100.0,100.0,10.0
4.5098,36.2745,51.4706,99.5098,11.0
2.1863,76.9608,92.6471,95.5882,12.0
6.5922,7.767,34.9515,95.1456,13.0
2.9657,28.9216,100.0,100.0,14.0
3.8416,10.066,72.9373,95.0495,15.0
2.7607,70.462,73.9274,99.67,16.0
3.5529,24.5192,74.0385,100.0,17.0
3.8184,33.5275,77.4757,88.3495,18.0
1.0,100.0,100.0,100.0,19.0
2.2163,38.9423,100.0,100.0,20.0
1.0093,99.0654,100.0,100.0,21.0
3.8879,19.6262,80.3738,95.3271,22.0
4.7383,54.2056,61.215,94.8598,23.0
3.6636,0.9346,91.5888,98.1308,24.0
1.5278,54.6296,100.0,100.0,25.0
2.5,15.7407,97.2222,100.0,26.0
1.0,100.0,100.0,100.0,27.0
1.0,100.0,100.0,100.0,28.0
1.706,85.8796,91.2037,100.0,29.0
4.2248,23.8532,76.1468,96.789,30.0
2.4439,30.3738,91.1215,99.0654,31.0
3.2187,65.7492,77.5229,88.0734,32.0
4.5917,9.1743,83.2569,100.0,33.0
1.9722,50.9259,100.0,100.0,34.0
4.4874,34.2767,81.1321,88.6792,35.0
1.1193,95.4128,99.0826,100.0,36.0
1.2545,86.8182,100.0,100.0,37.0
1.0,100.0,100.0,100.0,38.0
2.009,49.5495,100.0,100.0,39.0
4.789,23.8532,72.4771,92.2018,40.0
2.9688,26.7857,83.0357,99.1071,41.0
1.2143,86.6071,100.0,100.0,42.0
2.0531,48.6726,100.0,100.0,43.0
1.0,100.0,100.0,100.0,44.0
6.2418,45.8333,67.1131,75.0,45.0
6.1903,26.9912,49.5575,89.823,46.0
1.0234,98.8304,100.0,100.0,47.0
2.5766,84.2342,90.991,94.5946,48.0
1.0087,99.1304,100.0,100.0,49.0
1.1379,86.2069,100.0,100.0,50.0
2.5086,51.7241,84.9138,99.569,51.0
5.6681,21.5517,59.6264,93.5345,52.0
4.1983,10.7759,57.7586,100.0,53.0
2.0698,72.5071,100.0,100.0,54.0
4.2137,19.6581,100.0,100.0,55.0
1.3932,82.0513,99.1453,100.0,56.0
1.359,64.1026,100.0,100.0,57.0
2.6221,33.477,94.8276,100.0,58.0
4.431,38.7931,77.5862,83.6207,59.0
1.0,100.0,100.0,100.0,60.0
1.9831,25.4237,100.0,100.0,61.0
2.6555,45.3782,100.0,100.0,62.0
9.0126,23.9496,34.8739,36.1345,63.0
1.063,97.8992,100.0,100.0,64.0
3.5462,16.8067,100.0,100.0,65.0
5.4534,37.9944,76.1299,80.3672,66.0
1.9292,21.25,99.5833,100.0,67.0
3.6075,65.2083,71.6667,85.8333,68.0
4.062,54.5455,63.6364,99.1736,69.0
1.0,100.0,100.0,100.0,70.0
5.3405,39.6552,75.5747,87.2126,71.0
3.219,55.3719,56.1983,100.0,72.0
3.9652,55.8743,60.1093,100.0,73.0
5.627,19.6721,55.8743,89.7541,74.0
3.8821,18.2927,100.0,100.0,75.0
2.6148,36.0656,98.3607,100.0,76.0
1.0,100.0,100.0,100.0,77.0
1.0,100.0,100.0,100.0,78.0
3.856,33.6022,78.7634,92.3387,79.0
2.9146,46.748,75.2033,100.0,80.0
2.0323,35.4839,96.7742,98.3871,81.0
3.062,31.6667,93.4,100.0,82.0
1.7853,75.3333,90.4,99.2,83.0
5.0887,43.1333,54.6667,88.2667,84.0
1.032,96.8,100.0,100.0,85.0
9.848,20.0,25.6,52.8,86.0
1.004,99.6032,100.0,100.0,87.0
1.5236,73.622,100.0,100.0,88.0
5.4643,53.836,59.7884,63.4921,89.0
4.0881,43.6475,76.2295,91.8033,90.0
7.0171,30.1837,52.7559,54.3307,91.0
3.9878,22.3577,79.2683,95.122,92.0
1.1181,96.063,99.2126,100.0,93.0
5.0156,18.3594,20.3125,100.0,94.0
1.2171,82.9457,100.0,100.0,95.0
1.3615,63.8462,100.0,100.0,96.0
2.2934,68.7143,91.9231,93.8462,97.0
5.5528,21.1382,60.5691,83.7398,98.0
1.8321,78.2443,92.7481,100.0,99.0
5.8256,7.4935,33.4625,89.2765,100.0
2.6528,48.4848,95.4545,100.0,101.0
6.6043,45.2926,55.0891,58.3969,102.0
8.8622,14.5669,38.7139,59.1864,103.0
2.2247,60.101,100.0,100.0,104.0
3.594,29.5739,69.1729,100.0,105.0
6.109,40.9774,57.5188,89.0977,106.0
1.1729,85.7143,99.2481,100.0,107.0
4.9293,22.8535,67.1086,92.0455,108.0
1.9924,57.2519,99.2366,99.2366,109.0
1.0,100.0,100.0,100.0,110.0
1.1111,97.037,98.5185,100.0,111.0
2.3296,38.8889,86.6667,99.2593,112.0
5.2243,13.9706,16.1765,100.0,113.0
4.3775,20.5846,73.5697,90.2985,114.0
3.1722,50.7407,73.7037,98.1481,115.0
2.9657,42.0343,81.25,100.0,116.0
1.636,61.3971,97.7941,100.0,117.0
3.2424,46.4706,78.0147,93.6029,118.0
1.0,100.0,100.0,100.0,119.0
1.9051,51.8248,100.0,100.0,120.0
4.0148,42.963,72.5926,92.5926,121.0
11.4173,14.2686,37.8897,45.2038,122.0
1.2238,93.674,98.5401,99.2701,123.0
1.036,96.4029,100.0,100.0,124.0
1.518,48.9209,100.0,100.0,125.0
1.0286,98.5714,100.0,100.0,126.0
1.0,100.0,100.0,100.0,127.0
1.2714,73.5714,100.0,100.0,128.0
3.581,20.9524,100.0,100.0,129.0
1.0,100.0,100.0,100.0,130.0
