NumNonTypes,Count,Mean,Top1,Top5,Top10
-1,56247608,1.5484,84.5569,97.2537,98.8765
0,49250675,1.5081,84.7286,97.4591,99.0062
1,5627214,1.6666,84.1155,96.5157,98.4072
2,775385,1.9845,82.1938,94.6132,97.3453
3,332501,2.7483,78.2014,91.0062,95.2227
4,135300,3.5708,75.8355,90.1718,93.6199
5,97424,4.0745,77.4398,89.7455,93.5242
6,24303,3.2962,80.2156,93.0563,95.9353
7,4037,5.7407,73.5843,87.4053,90.5251
8,692,4.6568,75.8699,88.7453,90.937
9,36,12.1675,67.5099,81.0417,82.9167
10,10,1.178,91.2879,100.0,100.0
11,24,2.638,91.9336,95.8454,96.657
12,4,4.6538,57.6923,86.5384,90.3846
13,3,1.7179,84.6154,94.8718,97.4359
