NumSubjTypes,Count,Mean,Top1,Top5,Top10
-1,56247608,1.3757,89.2891,98.1556,99.2752
0,65319,4.9704,60.7792,79.5707,87.6572
1,46322326,1.3405,89.5483,98.3159,99.3752
2,9248154,1.5064,88.3708,97.585,98.9236
3,432382,1.6231,87.2396,96.897,98.3031
4,107261,1.7606,84.9478,96.332,98.4057
5,43205,1.876,85.5608,95.5412,97.9547
6,14616,1.8019,83.5117,95.0291,97.8699
7,7232,1.7887,86.7988,95.6235,97.2508
8,3501,2.4257,84.4829,96.1581,97.4945
9,1648,1.9124,82.668,95.7232,97.6119
10,920,1.8243,84.5209,96.5755,97.3316
11,303,3.9769,74.4174,89.5685,91.9118
12,272,1.3796,87.5427,98.2165,99.3172
13,112,3.9351,73.6432,87.4399,92.3949
14,93,2.2314,85.1208,89.4806,94.6088
15,84,1.4744,86.8803,97.3077,98.0769
16,14,1.0,100.0,100.0,100.0
18,15,1.0,100.0,100.0,100.0
19,6,1.0,100.0,100.0,100.0
20,14,1.0,100.0,100.0,100.0
22,3,1.0,100.0,100.0,100.0
24,30,1.0833,91.6667,100.0,100.0
25,11,1.0,100.0,100.0,100.0
27,5,1.0,100.0,100.0,100.0
40,13,1.0,100.0,100.0,100.0
51,13,1.0,100.0,100.0,100.0
55,17,1.0,100.0,100.0,100.0
58,18,1.1111,95.5556,100.0,100.0
92,21,1.0,100.0,100.0,100.0
