SetSize,Count,Mean,Top1,Top5,Top10
-1,56247608,1.4836,85.9875,97.5791,98.9947
0,54205,6.0811,50.0537,73.7708,84.0462
1,39993957,1.4946,84.8055,97.5333,99.0207
2,13811016,1.4118,89.2167,97.9245,99.0794
3,1475176,1.5213,88.6344,97.3263,98.7245
4,529791,1.6121,87.6558,96.8439,98.2498
5,202811,1.8513,86.6941,95.5342,97.6599
6,122432,2.0775,83.3057,94.7261,97.1609
7,40429,2.0355,87.2812,95.348,96.9746
8,10862,2.004,84.4317,96.6378,97.8015
9,3799,2.1647,84.1804,94.8496,96.958
10,1564,2.253,85.1088,95.6869,97.2988
11,588,3.1821,78.5729,91.5884,93.9598
12,368,1.6968,83.8502,96.9308,98.342
13,185,2.7693,76.8869,92.555,96.4013
14,108,2.4622,81.6359,89.3168,94.4579
15,84,3.4006,79.0955,91.6593,93.5463
16,49,2.1226,75.8681,93.5069,96.1111
17,14,4.4896,54.5833,87.9167,90.0
18,14,1.0,100.0,100.0,100.0
19,9,1.75,80.0,95.0,100.0
20,14,1.0,100.0,100.0,100.0
21,1,1.0,100.0,100.0,100.0
22,4,1.0,100.0,100.0,100.0
24,26,1.0,100.0,100.0,100.0
25,12,1.1667,83.3333,100.0,100.0
26,3,1.0,100.0,100.0,100.0
27,4,1.0,100.0,100.0,100.0
29,1,1.0,100.0,100.0,100.0
40,13,1.0,100.0,100.0,100.0
51,13,1.0,100.0,100.0,100.0
55,17,1.0,100.0,100.0,100.0
58,9,2.0,66.6667,100.0,100.0
59,7,1.0,100.0,100.0,100.0
60,2,1.1667,83.3333,100.0,100.0
92,21,1.0,100.0,100.0,100.0
