Mean,Top1,Top5,Top10,Pos
1.3535,89.7055,98.2256,99.3074,-1.0
1.1333,93.6667,99.0,100.0,0.0
2.2929,80.8081,90.9091,94.9495,1.0
1.3535,82.4916,97.6431,98.9899,2.0
1.0455,97.4747,100.0,100.0,3.0
1.52,56.0,100.0,100.0,4.0
1.7046,87.4587,92.0792,99.505,5.0
1.1205,94.967,100.0,100.0,6.0
1.0,100.0,100.0,100.0,7.0
1.0931,96.5686,100.0,100.0,8.0
1.9184,79.0816,94.898,97.9592,9.0
1.0833,95.5882,100.0,100.0,10.0
1.0686,93.1373,100.0,100.0,11.0
1.1351,95.2265,98.7864,100.0,12.0
1.1537,85.5987,100.0,100.0,13.0
2.3003,54.4554,90.5941,99.1749,14.0
1.0,100.0,100.0,100.0,15.0
1.0,100.0,100.0,100.0,16.0
1.6765,68.6275,100.0,100.0,17.0
1.3738,78.1553,99.0291,100.0,18.0
1.3137,79.4118,99.0196,100.0,19.0
1.1952,88.0952,99.0476,100.0,20.0
1.5189,48.1132,100.0,100.0,21.0
1.3915,72.6415,98.5849,100.0,22.0
1.3925,64.486,100.0,100.0,23.0
1.0312,97.8193,100.0,100.0,24.0
1.1682,91.5888,100.0,100.0,25.0
1.6296,43.0556,100.0,100.0,26.0
1.5,72.6852,99.537,100.0,27.0
1.4657,67.134,98.5981,100.0,28.0
1.3165,92.2018,97.2477,99.0826,29.0
1.0,100.0,100.0,100.0,30.0
1.156,92.6606,100.0,100.0,31.0
2.4235,70.4893,88.9908,95.4128,32.0
1.0,100.0,100.0,100.0,33.0
1.1909,83.6364,100.0,100.0,34.0
2.2106,84.3939,93.1818,93.6364,35.0
1.1514,95.1835,99.3884,99.6942,36.0
3.1743,52.2936,84.5566,94.2661,37.0
1.3964,85.1351,98.1982,99.0991,38.0
1.2252,88.2883,99.0991,100.0,39.0
1.1636,87.2727,100.0,100.0,40.0
1.0,100.0,100.0,100.0,41.0
1.1518,94.1964,99.1071,100.0,42.0
1.6777,82.6258,94.3396,98.5849,43.0
2.4107,50.8929,92.8571,94.6429,44.0
1.2634,93.3036,99.1071,99.1071,45.0
1.0175,98.2456,100.0,100.0,46.0
1.0,100.0,100.0,100.0,47.0
1.4469,87.1681,98.3776,98.6726,48.0
1.6406,57.6812,98.2609,100.0,49.0
