NumNonTypes,Count,Mean,Top1,Top5,Top10
-1,56255219,1.6753,81.7936,96.5797,98.6695
0,49258849,1.6328,81.841,96.775,98.7974
1,5628223,1.7842,82.0166,95.8573,98.3055
2,774749,2.2766,79.8729,93.6656,96.4628
3,331255,2.5522,79.1326,92.3963,95.8184
4,134958,3.4402,78.2159,90.1207,93.3334
5,97557,5.9095,74.7562,87.5437,91.0762
6,24707,3.8376,80.416,91.864,94.5337
7,4156,4.9955,77.9873,89.159,92.3895
8,689,7.0099,79.2154,86.2797,88.7486
9,37,6.61,69.3333,84.1667,85.3889
10,15,5.596,66.2626,89.0909,91.9192
11,19,3.1403,85.2453,93.3983,94.21
12,3,1.0,100.0,100.0,100.0
13,1,1.0,100.0,100.0,100.0
14,1,91.2143,0.0,14.2857,21.4286
