NumTypes,Count,Mean,Top1,Top5,Top10
-1,56255219,1.4924,86.5177,97.5891,98.9892
1,54638817,1.4766,86.6314,97.6631,99.0366
2,1083948,1.8362,84.0998,95.6485,97.9023
3,339757,2.2736,80.8291,94.6551,96.885
4,89664,2.6155,80.1742,92.5686,95.0803
5,42756,2.6603,78.8663,93.4839,95.7254
6,18254,3.0482,72.7931,90.4814,94.047
7,8819,1.8743,79.2431,94.4991,98.3212
8,15477,2.9724,76.8672,94.3083,96.4151
9,4435,1.8562,77.2694,94.0404,98.5862
10,6234,2.2932,65.0701,93.3967,95.4872
11,280,6.1774,70.5306,82.831,83.5259
12,2581,4.6806,63.5341,86.5807,87.649
13,450,4.1253,64.8858,87.6828,92.4332
14,603,3.4162,64.4054,87.8766,96.9335
15,2582,2.1846,74.6228,93.285,96.1731
16,1,1.0,100.0,100.0,100.0
18,554,2.3889,72.2222,77.7778,100.0
19,1,1.0,100.0,100.0,100.0
20,1,1.0,100.0,100.0,100.0
24,3,1.0,100.0,100.0,100.0
51,1,1.0,100.0,100.0,100.0
58,1,4.0,0.0,100.0,100.0
