SetSize,Count,Mean,Top1,Top5,Top10
-1,56255219,1.7126,80.8215,96.39,98.6257
1,48277634,1.6948,80.5496,96.4721,98.7069
2,5767780,1.6728,82.8218,96.4334,98.5965
3,1296672,1.9462,82.4327,95.2626,97.5232
4,459884,2.2107,81.2426,94.1945,96.7415
5,214953,2.4617,79.8299,93.1414,95.9292
6,141671,3.4727,79.0537,92.2168,94.5282
7,46782,2.7295,80.2989,91.8935,96.1022
8,21597,4.0358,79.0888,92.7141,95.2247
9,12412,3.7179,77.6887,91.4701,95.1735
10,5969,2.7394,68.8542,93.0208,95.9587
11,2255,4.7581,76.1065,88.5532,89.4146
12,2459,4.0112,69.0018,87.4562,90.7265
13,1037,2.5684,72.9306,95.0759,95.7047
14,680,4.4244,64.7354,83.3435,94.5273
15,840,1.9397,73.928,95.4346,97.9855
16,130,9.8224,69.311,78.6808,88.5885
17,110,1.652,84.5184,89.1438,100.0
18,2158,1.8353,83.2341,83.3304,100.0
19,168,1.058,97.0488,99.8118,100.0
20,20,2.2901,71.9136,87.037,100.0
21,2,2.2143,50.0,85.7143,100.0
23,1,1.7778,88.8889,88.8889,100.0
25,3,1.0,100.0,100.0,100.0
51,1,1.0,100.0,100.0,100.0
58,1,4.0,0.0,100.0,100.0
