Mean,Top1,Top5,Top10,Pos
1.4301,87.6284,97.8587,99.1271,-1.0
1.2576,92.7609,98.9899,100.0,0.0
1.5,85.5,96.75,100.0,1.0
1.9082,79.0816,94.3027,97.9592,2.0
1.02,99.0,100.0,100.0,3.0
1.0354,97.4747,100.0,100.0,4.0
1.165,85.5,99.5,100.0,5.0
1.0099,99.0099,100.0,100.0,6.0
1.1188,92.0792,100.0,100.0,7.0
2.3573,61.3861,92.9868,97.2772,8.0
1.0,100.0,100.0,100.0,9.0
1.3137,86.2745,98.0392,99.5098,10.0
2.0534,66.343,94.1748,97.0874,11.0
1.7265,73.9482,96.6019,100.0,12.0
1.1846,88.9875,99.6995,99.8613,13.0
1.0,100.0,100.0,100.0,14.0
1.0,100.0,100.0,100.0,15.0
1.0,100.0,100.0,100.0,16.0
1.8286,80.9524,92.381,99.0476,17.0
3.258,46.1538,81.4103,96.7949,18.0
1.0,100.0,100.0,100.0,19.0
1.0,100.0,100.0,100.0,20.0
1.4159,65.8879,100.0,100.0,21.0
1.0,100.0,100.0,100.0,22.0
1.4784,62.8086,98.6111,100.0,23.0
4.7067,38.4615,73.0769,90.3846,24.0
1.1852,96.2963,98.6111,99.0741,25.0
1.0183,98.1651,100.0,100.0,26.0
2.4279,87.9808,91.8269,94.2308,27.0
1.5197,57.5758,99.0909,100.0,28.0
1.883,81.8807,91.1315,98.318,29.0
1.25,83.0357,100.0,100.0,30.0
1.3058,96.2798,98.2143,98.2143,31.0
1.0,100.0,100.0,100.0,32.0
1.9499,52.2124,97.7876,100.0,33.0
1.6578,66.2242,100.0,100.0,34.0
1.2636,85.4545,99.0909,100.0,35.0
2.8936,52.9678,81.5789,99.1228,36.0
1.6348,79.7101,93.6232,100.0,37.0
1.013,98.6957,100.0,100.0,38.0
1.5603,64.6552,99.1379,99.1379,39.0
2.6051,60.2102,91.2913,97.1471,40.0
2.5714,73.3631,91.2202,94.7917,41.0
1.0,100.0,100.0,100.0,42.0
1.0603,93.9655,100.0,100.0,43.0
1.0905,95.2586,99.569,100.0,44.0
1.9511,78.0172,95.6897,98.2759,45.0
1.0427,95.7265,100.0,100.0,46.0
2.2048,79.2373,92.5141,95.0565,47.0
1.0593,95.7627,100.0,100.0,48.0
1.5685,77.9661,97.8814,98.3051,49.0
2.3953,67.5214,92.1652,94.1595,50.0
1.0,100.0,100.0,100.0,51.0
1.1111,91.453,100.0,100.0,52.0
1.0084,99.1597,100.0,100.0,53.0
1.0756,97.479,99.1597,100.0,54.0
3.9958,44.9153,86.0169,90.2542,55.0
1.5125,49.5833,100.0,100.0,56.0
1.0,100.0,100.0,100.0,57.0
1.6611,76.1905,97.3389,98.3193,58.0
1.5556,62.8205,98.7179,100.0,59.0
3.0819,29.7414,88.3621,97.8448,60.0
1.0,100.0,100.0,100.0,61.0
1.0246,97.541,100.0,100.0,62.0
1.6515,83.4711,95.1791,98.3471,63.0
1.4309,63.4146,100.0,100.0,64.0
1.2507,76.1518,100.0,100.0,65.0
1.2868,83.1882,99.6612,100.0,66.0
1.0123,98.7705,100.0,100.0,67.0
1.0136,98.645,100.0,100.0,68.0
3.3361,30.7377,87.7049,95.9016,69.0
1.7073,79.2683,94.3089,99.187,70.0
2.7726,68.4583,90.5,92.3333,71.0
2.4771,41.3415,92.8184,100.0,72.0
1.0175,98.2527,100.0,100.0,73.0
1.0,100.0,100.0,100.0,74.0
1.2661,73.3871,100.0,100.0,75.0
1.0,100.0,100.0,100.0,76.0
1.0,100.0,100.0,100.0,77.0
1.0,100.0,100.0,100.0,78.0
2.3562,81.3172,92.2043,95.1613,79.0
1.2258,90.3226,99.1935,100.0,80.0
1.0,100.0,100.0,100.0,81.0
1.0,100.0,100.0,100.0,82.0
1.0397,98.4127,100.0,100.0,83.0
1.9839,85.8871,92.2043,96.5054,84.0
1.504,86.2903,96.371,98.7903,85.0
3.3005,49.4536,79.235,93.1694,86.0
1.4802,84.5238,97.2222,100.0,87.0
1.8438,47.3958,98.9583,100.0,88.0
1.0,100.0,100.0,100.0,89.0
2.1772,68.1102,88.9764,96.8504,90.0
1.332,88.6719,98.0469,99.2188,91.0
1.3616,87.907,98.1654,99.2248,92.0
1.345,86.8217,98.062,100.0,93.0
1.1085,90.6977,100.0,100.0,94.0
1.0233,97.6744,100.0,100.0,95.0
1.0388,96.8992,100.0,100.0,96.0
1.0,100.0,100.0,100.0,97.0
1.0,100.0,100.0,100.0,98.0
1.3692,86.9231,98.0769,99.6154,99.0
4.1578,32.7608,80.916,93.5115,100.0
1.43,82.1883,98.2188,98.9822,101.0
1.0923,94.6154,100.0,100.0,102.0
1.0,100.0,100.0,100.0,103.0
1.1565,91.9847,99.2366,100.0,104.0
1.0379,98.4848,100.0,100.0,105.0
1.0301,96.9925,100.0,100.0,106.0
1.5303,47.7273,100.0,100.0,107.0
1.0,100.0,100.0,100.0,108.0
1.0149,98.5075,100.0,100.0,109.0
1.0,100.0,100.0,100.0,110.0
1.1529,94.2356,98.9975,100.0,111.0
1.5547,79.7264,97.1393,98.5075,112.0
1.0147,98.5294,100.0,100.0,113.0
4.2289,54.602,84.9502,86.6915,114.0
1.0961,98.0535,99.1484,100.0,115.0
1.0511,95.9854,100.0,100.0,116.0
1.0111,98.8889,100.0,100.0,117.0
1.0,100.0,100.0,100.0,118.0
1.0074,99.2647,100.0,100.0,119.0
1.097,97.7612,99.2537,99.2537,120.0
1.0219,97.8102,100.0,100.0,121.0
1.1413,97.4638,98.5507,99.2754,122.0
1.837,39.8551,98.913,100.0,123.0
1.3043,86.9565,97.8261,100.0,124.0
1.1969,91.7874,98.5507,100.0,125.0
1.4101,76.9784,99.2806,99.2806,126.0
1.0,100.0,100.0,100.0,127.0
1.5177,48.9362,100.0,100.0,128.0
2.8511,39.0071,93.617,97.1631,129.0
1.5532,65.721,98.5816,100.0,130.0
1.0496,97.1631,100.0,100.0,131.0
1.1387,95.6876,99.3007,100.0,132.0
1.5245,47.5524,100.0,100.0,133.0
1.4514,66.6667,99.3056,99.3056,134.0
2.3404,68.7943,94.6809,97.1631,135.0
1.5521,51.3889,100.0,100.0,136.0
1.035,98.6014,100.0,100.0,137.0
1.0,100.0,100.0,100.0,138.0
1.3349,91.7682,96.8678,99.4828,139.0
2.5484,58.683,89.1608,96.5035,140.0
2.2535,74.6479,92.6056,96.831,141.0
2.014,77.7972,92.6573,97.9021,142.0
1.8664,42.1233,96.2329,99.3151,143.0
1.6261,66.8379,99.8288,100.0,144.0
1.462,86.5213,96.5884,98.8814,145.0
1.0358,98.434,99.6644,100.0,146.0
2.6815,66.0959,89.0411,95.8904,147.0
4.5537,43.9597,80.8725,88.255,148.0
1.24,94.0,98.0,100.0,149.0
1.3642,63.5762,100.0,100.0,150.0
1.0,100.0,100.0,100.0,151.0
1.0,100.0,100.0,100.0,152.0
1.0,100.0,100.0,100.0,153.0
2.7317,63.8128,92.8082,94.1781,154.0
2.9457,45.5519,85.1104,97.5828,155.0
1.0132,98.6755,100.0,100.0,156.0
1.402,60.7843,100.0,100.0,157.0
1.0,100.0,100.0,100.0,158.0
1.0065,99.3548,100.0,100.0,159.0
1.2105,94.3376,98.0769,99.359,160.0
1.2739,83.758,98.7261,100.0,161.0
1.6911,82.8025,95.5414,98.7261,162.0
1.0032,99.6835,100.0,100.0,163.0
1.0127,98.7342,100.0,100.0,164.0
1.1297,93.3544,100.0,100.0,165.0
1.1139,96.097,99.3671,99.3671,166.0
1.2091,80.3459,100.0,100.0,167.0
1.0688,95.0,100.0,100.0,168.0
1.0,100.0,100.0,100.0,169.0
1.3375,66.25,100.0,100.0,170.0
1.025,99.1667,100.0,100.0,171.0
1.4414,89.8148,98.1481,98.7654,172.0
2.4074,54.9383,99.3827,100.0,173.0
1.0061,99.3865,100.0,100.0,174.0
1.0123,98.773,100.0,100.0,175.0
1.0215,99.0798,99.6933,100.0,176.0
