NumNonTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.4855,86.7114,97.5852,98.9749
0,49258466,1.4384,87.1204,97.8252,99.1292
1,5628408,1.6058,85.0475,96.947,98.5371
2,776097,2.1604,80.6226,93.4949,96.6836
3,332721,2.8281,78.9287,91.0246,94.9983
4,134786,3.7237,73.4965,87.8365,91.6892
5,96941,4.5158,70.9062,83.3389,89.5393
6,24323,3.3397,82.7708,92.7736,95.3325
7,4015,7.667,75.6101,86.2357,89.5854
8,715,13.7949,70.0361,80.0025,82.9902
9,38,2.9563,84.7856,93.0864,95.2892
10,7,2.0985,83.3334,92.4242,96.9697
11,21,5.0502,77.62,80.7765,87.4369
12,9,3.5,65.3846,80.7692,92.3077
16,1,25.3125,6.25,25.0,56.25
