NumObjTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.3666,90.3015,98.1358,99.16
1,54639156,1.351,90.5152,98.2099,99.2025
2,1084353,1.6691,84.1187,96.4636,98.4201
3,339944,2.0363,83.0772,94.972,97.0477
4,89298,2.4069,80.3748,93.5957,95.678
5,43015,3.1064,77.0832,92.7045,95.9226
6,18393,3.1243,75.5556,91.2153,93.9454
7,9010,2.9295,75.0916,89.5137,94.5345
8,15641,4.7164,73.461,88.452,91.2515
9,4393,2.6773,72.0005,91.2264,95.4389
10,6133,2.2733,70.9719,93.3266,95.6819
11,302,4.9929,61.1984,83.8411,90.2617
12,2593,5.341,56.3114,79.0866,89.3943
13,454,2.5762,70.5078,89.9366,92.3133
14,657,4.1665,59.9401,79.8181,91.1671
15,2669,2.3589,69.9883,87.2317,94.8457
18,527,2.2381,71.4286,90.4762,95.2381
19,1,1.0,100.0,100.0,100.0
24,4,1.5,50.0,100.0,100.0
51,1,1.0,100.0,100.0,100.0
55,1,1.0,100.0,100.0,100.0
58,3,8.875,0.0,87.5,87.5
