NumSubjTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.3596,90.4629,98.2112,99.17
0,65709,3.5834,69.7197,87.4478,93.0883
1,46331976,1.3182,90.8391,98.4294,99.3057
2,9247335,1.5231,89.0399,97.3509,98.613
3,431243,1.7176,86.4402,96.1252,98.0695
4,107883,1.8877,84.4446,95.42,97.7678
5,43467,1.9252,83.4331,94.9041,97.6071
6,14762,1.9996,84.6666,94.6392,97.9828
7,7136,2.1753,82.0646,95.4154,97.4929
8,3462,2.4344,79.7253,95.359,98.398
9,1633,2.2288,81.2252,93.904,96.6506
10,897,2.7855,76.402,89.8583,93.8142
11,302,3.1295,70.2801,88.4568,93.4568
12,277,4.5435,83.2208,93.6542,93.9875
13,109,1.3601,84.3342,99.2925,99.2925
14,97,2.013,71.5206,89.0778,98.9737
15,94,1.3829,90.0897,95.9103,99.9615
16,17,1.1154,98.0769,98.0769,100.0
18,10,1.0,100.0,100.0,100.0
19,5,1.0,100.0,100.0,100.0
20,17,1.0,100.0,100.0,100.0
22,4,1.0,100.0,100.0,100.0
24,32,1.1,90.0,100.0,100.0
25,10,1.0,100.0,100.0,100.0
27,3,1.0,100.0,100.0,100.0
40,8,1.0,100.0,100.0,100.0
51,17,1.0,100.0,100.0,100.0
55,6,1.0,100.0,100.0,100.0
58,18,1.07,95.0,100.0,100.0
92,19,1.5,66.6666,100.0,100.0
