NumTypes,Count,Mean,Top1,Top5,Top10
-1,56256548,1.3721,90.0239,98.0929,99.1664
1,60159,3.4978,69.7562,87.7671,93.3589
2,44870511,1.3472,90.3086,98.2407,99.239
3,10128237,1.4319,89.3289,97.7025,98.9767
4,791709,1.5799,87.3748,96.7905,98.5868
5,211581,1.7477,85.4155,96.1952,98.2394
6,89855,1.9493,83.9525,95.5456,97.632
7,39852,2.0444,83.6787,95.1594,97.9257
8,19815,1.9877,82.4508,95.1533,97.7677
9,20146,2.2023,81.6636,94.6158,97.1527
10,7334,2.4916,80.1185,94.1861,96.7941
11,7474,2.5897,76.1015,92.5889,95.4814
12,1449,3.6373,70.0988,89.2578,92.088
13,3029,2.8569,72.9947,89.6635,95.3075
14,822,2.5067,69.8855,89.6005,96.8959
15,826,2.3623,70.2169,87.6062,96.9744
16,960,3.1132,77.3796,87.9946,96.3627
17,1497,1.3706,85.6754,95.2847,99.9983
18,294,4.2972,59.2706,74.1184,85.3884
19,224,1.5429,81.6106,92.6282,100.0
20,51,3.0,72.7273,81.8182,81.8182
21,364,1.6875,81.25,87.5,100.0
22,153,1.25,75.0,100.0,100.0
23,35,1.1,90.0,100.0,100.0
24,11,1.0,100.0,100.0,100.0
25,41,1.1429,85.7143,100.0,100.0
26,19,1.0,100.0,100.0,100.0
27,10,1.0,100.0,100.0,100.0
28,9,1.0,100.0,100.0,100.0
29,3,1.0,100.0,100.0,100.0
30,3,1.0,100.0,100.0,100.0
31,2,1.25,75.0,100.0,100.0
41,8,1.0,100.0,100.0,100.0
52,17,1.0,100.0,100.0,100.0
53,1,1.0,100.0,100.0,100.0
56,6,1.0,100.0,100.0,100.0
57,1,1.0,100.0,100.0,100.0
58,2,13.75,0.0,75.0,75.0
59,15,1.6571,77.1429,100.0,100.0
60,4,1.25,75.0,100.0,100.0
93,18,1.0,100.0,100.0,100.0
94,1,2.0,33.3333,100.0,100.0
