SetSize,Count,Mean,Top1,Top5,Top10
-1,56256548,1.4673,87.1557,97.6551,99.0048
1,50752,3.9931,63.1102,85.3495,92.0712
2,39119442,1.4827,86.2862,97.5715,99.0085
3,13876036,1.3818,89.5609,98.1275,99.1398
4,1931064,1.4935,88.6666,97.3233,98.7584
5,685077,1.6473,87.4803,96.6065,98.416
6,288736,1.7647,86.1568,96.1533,98.0374
7,169246,2.003,85.4628,95.192,97.6162
8,67706,2.0808,84.0749,95.3945,97.6362
9,30418,2.3503,82.1341,94.361,96.7485
10,16799,2.1939,81.787,94.0213,96.8973
11,8009,2.3072,79.7938,93.9012,96.5692
12,3146,3.2749,74.31,91.1078,93.3702
13,3298,2.8369,76.3003,91.3367,95.8472
14,1656,2.7479,66.2483,87.329,96.0113
15,1006,2.3949,75.9421,91.4135,97.1455
16,619,2.9151,73.2801,88.0764,95.3876
17,243,2.2872,74.6501,89.842,96.4445
18,343,5.1118,56.2237,78.5549,86.9816
19,728,2.3557,68.3748,92.6228,99.5053
20,1279,3.096,63.454,83.315,86.4573
21,535,1.8614,82.3732,83.1101,100.0
22,187,1.3297,72.4158,99.495,99.899
23,45,1.0608,98.6772,99.4709,99.7354
24,18,1.3998,80.8532,98.1151,99.4048
25,38,1.1667,83.3333,100.0,100.0
26,21,1.0,100.0,100.0,100.0
27,10,1.0,100.0,100.0,100.0
28,10,1.0,100.0,100.0,100.0
29,3,1.0,100.0,100.0,100.0
30,3,1.0,100.0,100.0,100.0
31,1,1.0,100.0,100.0,100.0
32,1,1.5,50.0,100.0,100.0
41,8,1.0,100.0,100.0,100.0
52,17,1.0,100.0,100.0,100.0
53,1,1.0,100.0,100.0,100.0
56,6,1.0,100.0,100.0,100.0
57,1,1.0,100.0,100.0,100.0
58,1,2.0,0.0,100.0,100.0
59,10,5.9167,50.0,91.6667,91.6667
60,7,1.0,100.0,100.0,100.0
61,2,1.75,25.0,100.0,100.0
62,1,1.0,100.0,100.0,100.0
93,18,1.0,100.0,100.0,100.0
96,1,2.0,33.3333,100.0,100.0
