Mean,Top1,Top5,Top10,Pos
1.3132,91.1623,98.4774,99.339,-1.0
3.1582,72.449,88.7755,92.8571,0.0
1.0,100.0,100.0,100.0,1.0
1.7208,80.0833,95.0,98.0,2.0
1.3776,72.449,100.0,100.0,3.0
1.0,100.0,100.0,100.0,4.0
1.0,100.0,100.0,100.0,5.0
1.2921,86.1386,98.5149,100.0,6.0
1.7376,80.6931,97.0297,98.0198,7.0
1.0196,99.0196,100.0,100.0,8.0
1.7629,82.3024,95.0172,98.9691,9.0
1.55,89.1667,95.8333,97.6667,10.0
1.1392,90.7767,100.0,100.0,11.0
2.1389,68.3824,94.6895,95.4248,12.0
2.3752,72.6733,89.4059,93.0693,13.0
1.1262,95.1456,100.0,100.0,14.0
1.6436,83.1683,95.0495,95.0495,15.0
2.9706,52.6144,84.9673,96.0784,16.0
1.0635,94.7619,100.0,100.0,17.0
1.0381,96.1905,100.0,100.0,18.0
1.0943,95.283,100.0,100.0,19.0
1.0,100.0,100.0,100.0,20.0
1.0187,98.1308,100.0,100.0,21.0
1.0,100.0,100.0,100.0,22.0
1.1888,87.6636,99.5794,99.5794,23.0
1.3785,68.6916,100.0,100.0,24.0
1.0,100.0,100.0,100.0,25.0
1.0231,97.6852,100.0,100.0,26.0
1.7925,74.5283,96.6981,97.6415,27.0
1.5093,74.0741,99.0741,100.0,28.0
1.8673,78.0864,97.3765,97.3765,29.0
3.6106,60.0962,83.6538,90.8654,30.0
1.0586,95.679,100.0,100.0,31.0
1.0229,98.6239,100.0,100.0,32.0
1.0,100.0,100.0,100.0,33.0
1.0182,98.4848,100.0,100.0,34.0
1.1509,95.5975,98.7421,100.0,35.0
2.5405,62.6126,91.4414,95.045,36.0
1.045,97.2973,100.0,100.0,37.0
1.3799,79.393,98.6486,100.0,38.0
1.2342,87.6877,100.0,100.0,39.0
2.0642,84.8624,95.4128,96.3303,40.0
1.3214,92.6339,96.6518,99.3304,41.0
2.2188,63.3929,94.6429,97.3214,42.0
1.1239,88.4956,100.0,100.0,43.0
1.0,100.0,100.0,100.0,44.0
1.0354,98.2301,100.0,100.0,45.0
1.0664,93.3628,100.0,100.0,46.0
1.0,100.0,100.0,100.0,47.0
1.0398,98.6726,99.5575,100.0,48.0
1.1333,88.4058,100.0,100.0,49.0
1.0086,99.1379,100.0,100.0,50.0
1.0812,92.735,100.0,100.0,51.0
1.0256,97.4359,100.0,100.0,52.0
1.3121,74.435,99.1525,100.0,53.0
2.6097,65.5271,90.3134,95.4416,54.0
1.5342,89.3162,95.7265,98.2906,55.0
1.4701,70.5128,99.5726,100.0,56.0
1.1992,86.4407,99.5763,99.5763,57.0
1.0,100.0,100.0,100.0,58.0
1.0417,95.8333,100.0,100.0,59.0
1.3705,88.292,98.4848,99.7245,60.0
2.2437,72.2689,93.2773,96.6387,61.0
1.1025,91.8033,99.5902,100.0,62.0
1.3279,70.4918,100.0,100.0,63.0
1.2459,86.8852,98.3607,99.3852,64.0
1.0908,92.0054,100.0,100.0,65.0
1.0,100.0,100.0,100.0,66.0
